600694-600366,0.526467,1.955968,0.027124,:,1.621834,0.086717,3.894309,True,
600251-000960,0.830329,0.710890,0.027535,:,1.596228,0.050069,4.036189,True,
600720-600256,0.404914,0.949973,0.025989,:,1.721295,0.049649,3.192697,True,
601139-600256,0.322726,1.352414,0.021696,:,1.588709,0.035213,4.760339,True,
601857-600256,-0.425183,3.087780,0.021611,:,1.611099,0.056145,5.088682,True,
601139-600008,0.846889,0.452075,0.024626,:,1.692457,0.050719,3.436701,True,
601139-600690,-0.023799,2.202061,0.018773,:,1.632406,0.039805,3.560716,True,
601139-600481,-0.113482,2.399387,0.019322,:,1.629367,0.043375,4.469508,True,
600801-600008,0.575971,1.353282,0.028269,:,1.508175,0.102281,3.785515,True,
600874-600008,0.699534,0.790447,0.023430,:,1.489189,0.088093,3.634891,True,
600748-600108,0.994455,-0.080944,0.028206,:,1.684493,0.059343,3.384286,True,
601857-000731,-0.768132,3.774826,0.029752,:,1.736107,0.041923,3.808504,True,
600100-000768,1.000743,-0.055948,0.024486,:,1.682355,0.034024,4.824635,True,
600188-002594,0.979589,-1.239146,0.027798,:,1.827737,0.053774,4.703354,True,
600498-600410,0.909198,1.030059,0.026576,:,1.461538,0.053654,3.984884,True,
002340-002011,0.961533,0.241204,0.017555,:,1.680223,0.039716,3.812021,True,
600366-600120,0.857875,0.478864,0.017803,:,1.660487,0.061358,4.014756,True,
600674-000049,-0.148600,3.060800,0.019605,:,1.519023,0.056181,5.437982,True,
600831-000063,0.989500,-0.627655,0.028017,:,1.614164,0.066707,3.854778,True,
600674-002011,-0.311137,3.143809,0.028531,:,1.499230,0.084346,3.899309,True,
